season,hour,value,source
summer,1,42.677447096774195,caiso_api_30day_avg
summer,2,39.908057096774186,caiso_api_30day_avg
summer,3,38.26169677419355,caiso_api_30day_avg
summer,4,37.938238387096774,caiso_api_30day_avg
summer,5,38.1815135483871,caiso_api_30day_avg
summer,6,40.636620645161294,caiso_api_30day_avg
summer,7,39.9424370967742,caiso_api_30day_avg
summer,8,32.65187451612902,caiso_api_30day_avg
summer,9,30.35389806451613,caiso_api_30day_avg
summer,10,30.31325580645161,caiso_api_30day_avg
summer,11,29.998387419354835,caiso_api_30day_avg
summer,12,30.760821290322585,caiso_api_30day_avg
summer,13,31.841300645161287,caiso_api_30day_avg
summer,14,34.80103580645161,caiso_api_30day_avg
summer,15,39.02356096774194,caiso_api_30day_avg
summer,16,43.899736774193556,caiso_api_30day_avg
summer,17,49.51090580645162,caiso_api_30day_avg
summer,18,61.634177419354835,caiso_api_30day_avg
summer,19,88.02463612903227,caiso_api_30day_avg
summer,20,141.86574967741933,caiso_api_30day_avg
summer,21,94.73699419354837,caiso_api_30day_avg
summer,22,65.92427516129031,caiso_api_30day_avg
summer,23,53.050627096774186,caiso_api_30day_avg
summer,24,46.305161935483866,caiso_api_30day_avg
winter,1,74.4224441935484,caiso_api_30day_avg
winter,2,71.89325451612903,caiso_api_30day_avg
winter,3,71.06949870967743,caiso_api_30day_avg
winter,4,70.78870387096774,caiso_api_30day_avg
winter,5,71.91958741935481,caiso_api_30day_avg
winter,6,78.37363225806452,caiso_api_30day_avg
winter,7,86.53591645161289,caiso_api_30day_avg
winter,8,85.99728322580647,caiso_api_30day_avg
winter,9,79.51534645161288,caiso_api_30day_avg
winter,10,75.04394387096772,caiso_api_30day_avg
winter,11,72.79687483870967,caiso_api_30day_avg
winter,12,70.98758645161291,caiso_api_30day_avg
winter,13,67.70798064516129,caiso_api_30day_avg
winter,14,66.76574258064517,caiso_api_30day_avg
winter,15,68.97068967741934,caiso_api_30day_avg
winter,16,75.97947193548386,caiso_api_30day_avg
winter,17,88.86964806451613,caiso_api_30day_avg
winter,18,91.05510129032257,caiso_api_30day_avg
winter,19,90.08197096774192,caiso_api_30day_avg
winter,20,89.11311999999998,caiso_api_30day_avg
winter,21,87.80126225806453,caiso_api_30day_avg
winter,22,86.38964,caiso_api_30day_avg
winter,23,81.57573612903225,caiso_api_30day_avg
winter,24,77.12482032258065,caiso_api_30day_avg
shoulder,1,33.86610133333333,caiso_api_30day_avg
shoulder,2,32.412754666666665,caiso_api_30day_avg
shoulder,3,31.717561000000003,caiso_api_30day_avg
shoulder,4,31.588871,caiso_api_30day_avg
shoulder,5,33.111324333333336,caiso_api_30day_avg
shoulder,6,38.58245866666667,caiso_api_30day_avg
shoulder,7,42.78506833333333,caiso_api_30day_avg
shoulder,8,33.931562,caiso_api_30day_avg
shoulder,9,24.210242999999995,caiso_api_30day_avg
shoulder,10,17.542695333333334,caiso_api_30day_avg
shoulder,11,12.394689999999997,caiso_api_30day_avg
shoulder,12,7.408062333333334,caiso_api_30day_avg
shoulder,13,4.9275600000000015,caiso_api_30day_avg
shoulder,14,3.6799620000000006,caiso_api_30day_avg
shoulder,15,4.000418000000001,caiso_api_30day_avg
shoulder,16,5.219497000000001,caiso_api_30day_avg
shoulder,17,7.9170679999999996,caiso_api_30day_avg
shoulder,18,18.920071333333333,caiso_api_30day_avg
shoulder,19,36.91249166666667,caiso_api_30day_avg
shoulder,20,45.03087633333333,caiso_api_30day_avg
shoulder,21,44.36587733333333,caiso_api_30day_avg
shoulder,22,40.68738733333333,caiso_api_30day_avg
shoulder,23,36.454565333333335,caiso_api_30day_avg
shoulder,24,34.05855366666666,caiso_api_30day_avg
